Date,Close,Open,High,Low
22/04/2017,1240.90,1249.60,1257.00,1215.80
23/04/2017,1249.10,1240.90,1256.20,1223.10
24/04/2017,1248.20,1249.10,1256.40,1234.90
25/04/2017,1264.30,1248.20,1272.60,1244.20
26/04/2017,1286.60,1264.30,1309.20,1263.00
27/04/2017,1332.90,1286.60,1346.80,1285.30
28/04/2017,1329.60,1332.90,1356.20,1287.60
29/04/2017,1336.30,1329.60,1343.70,1314.20
30/04/2017,1351.90,1336.30,1358.90,1309.70
01/05/2017,1415.80,1351.90,1448.70,1342.80
02/05/2017,1445.90,1415.80,1471.10,1394.80
03/05/2017,1485.60,1445.90,1496.40,1424.10
04/05/2017,1516.80,1485.60,1609.80,1437.10
05/05/2017,1507.80,1516.80,1588.10,1485.00
06/05/2017,1545.30,1507.80,1560.40,1503.90
07/05/2017,1554.40,1545.30,1572.90,1495.20
08/05/2017,1664.50,1554.40,1667.70,1552.90
09/05/2017,1697.50,1664.50,1757.40,1620.00
10/05/2017,1752.30,1697.50,1766.20,1665.00
11/05/2017,1819.30,1752.30,1864.80,1741.50
12/05/2017,1686.40,1819.30,1822.50,1641.20
13/05/2017,1763.70,1686.40,1770.50,1594.60
14/05/2017,1772.60,1763.70,1802.80,1736.10
15/05/2017,1708.90,1772.60,1776.70,1656.80
16/05/2017,1729.30,1708.90,1752.60,1653.70
17/05/2017,1801.30,1729.30,1842.80,1704.00
18/05/2017,1881.00,1801.30,1980.50,1791.10
19/05/2017,1962.00,1881.00,1969.70,1875.30
20/05/2017,2040.20,1962.00,2048.40,1944.40
21/05/2017,2044.20,2040.20,2094.90,1980.10
22/05/2017,2124.40,2044.20,2264.80,1998.60
23/05/2017,2272.60,2124.40,2286.30,2110.80
24/05/2017,2445.30,2272.60,2497.00,2263.30
25/05/2017,2307.20,2445.30,2781.80,2210.50
26/05/2017,2244.90,2307.00,2616.50,2051.40
27/05/2017,2052.40,2244.90,2322.40,1868.60
28/05/2017,2189.00,2052.40,2300.50,2051.10
29/05/2017,2278.20,2189.00,2337.40,2117.30
30/05/2017,2192.60,2278.20,2329.30,2147.10
31/05/2017,2303.30,2192.60,2330.60,2168.40
01/06/2017,2412.60,2303.30,2460.80,2303.30
